City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
327,Verkhnevilyuysk,RU,63.4453,120.3167,-15.93,100,100,3.47,overcast clouds
328,Bandarbeyla,SO,9.4942,50.8122,78.17,69,87,21.0,overcast clouds
329,Caorle,IT,45.5966,12.8758,54.23,84,99,1.63,overcast clouds
330,Simao,CN,22.7886,100.9748,51.44,98,99,1.95,overcast clouds
331,Numaligarh,IN,26.6333,93.75,59.09,64,0,0.72,clear sky
332,Hofn,IS,64.2539,-15.2082,20.21,65,74,22.53,broken clouds
333,Dicabisagan,PH,17.0818,122.4157,75.65,92,100,7.74,moderate rain
334,Tommot,RU,58.9564,126.2925,-20.0,98,70,2.33,broken clouds
335,Hami,CN,42.8,93.45,19.17,46,4,4.36,clear sky
336,Dingle,PH,10.9995,122.6711,74.32,95,22,5.26,few clouds
337,Moussoro,TD,13.6408,16.4901,80.8,11,5,14.61,clear sky
338,Moerai,PF,-22.4333,-151.3333,76.87,78,100,9.37,overcast clouds
339,Aykhal,RU,66.0,111.5,-25.1,99,98,9.6,overcast clouds
340,Longyearbyen,SJ,78.2186,15.6401,22.84,63,40,13.8,light shower snow
341,Dera Bugti,PK,29.0307,69.151,60.3,43,0,3.71,clear sky
342,Huarmey,PE,-10.0681,-78.1522,71.76,81,43,7.11,scattered clouds
343,Quartucciu,IT,39.2519,9.1794,65.03,75,0,5.75,clear sky
